                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0434,                 1.5526,                 1.1673,                0.82418,                0.75416,                0.86839,                0.74892,                0.56749,                0.71397,                0.86737,               0.070175,              0.0033138,              0.0033138
                      1,                0.57293,                0.61342,                0.89794,                0.90397,                0.88778,                0.92765,                0.82159,                 0.5156,                0.47731,                0.82967,                0.04011,              0.0065814,              0.0065814
                      2,                0.59481,                0.60827,                0.90451,                0.91925,                0.89485,                0.94336,                0.83479,                 0.5014,                0.42379,                0.82557,              0.0099778,              0.0097829,              0.0097829
                      3,                0.59561,                0.57351,                0.90694,                0.87675,                0.87997,                0.93695,                0.81315,                0.55386,                0.53965,                0.84832,               0.009703,               0.009703,               0.009703
                      4,                  0.568,                0.52856,                 0.8983,                0.93859,                0.89061,                0.94808,                0.83857,                0.51426,                0.43806,                0.83975,               0.009703,               0.009703,               0.009703
                      5,                0.54082,                0.49595,                0.89015,                0.94697,                0.93145,                0.96446,                 0.8695,                0.46774,                0.36958,                0.82121,               0.009604,               0.009604,               0.009604
                      6,                0.52309,                0.48475,                 0.8812,                0.91241,                0.85899,                0.92977,                0.83613,                0.47658,                0.45612,                0.82379,               0.009505,               0.009505,               0.009505
                      7,                0.51384,                0.47069,                0.87776,                0.93742,                0.89972,                 0.9447,                 0.8553,                 0.4659,                0.39589,                0.81972,               0.009406,               0.009406,               0.009406
                      8,                  0.498,                0.45132,                0.87488,                0.91735,                0.92134,                0.95778,                0.87492,                0.45267,                0.37268,                 0.8167,               0.009307,               0.009307,               0.009307
                      9,                0.48996,                 0.4349,                0.87131,                0.92308,                0.91724,                0.94334,                0.86366,                0.44996,                0.37839,                0.82096,               0.009208,               0.009208,               0.009208
                     10,                0.47876,                0.41746,                0.86791,                 0.8921,                0.71453,                0.80756,                0.71107,                0.59028,                0.81774,                0.89018,               0.009109,               0.009109,               0.009109
                     11,                0.47011,                0.40964,                0.86426,                0.94589,                0.94804,                0.97337,                0.88863,                0.45372,                0.33881,                0.82072,                0.00901,                0.00901,                0.00901
                     12,                 0.4679,                0.40712,                0.86176,                0.94269,                0.92722,                0.96931,                0.89521,                0.42981,                0.34703,                0.80292,               0.008911,               0.008911,               0.008911
                     13,                0.45498,                0.39526,                0.85935,                0.97184,                0.96071,                 0.9813,                0.91206,                0.41897,                0.29353,                0.80674,               0.008812,               0.008812,               0.008812
                     14,                0.45296,                0.38584,                0.85898,                0.96956,                0.95191,                0.97721,                0.91234,                0.41653,                0.28862,                0.80426,               0.008713,               0.008713,               0.008713
                     15,                0.44711,                0.38137,                0.85482,                 0.9249,                0.58229,                 0.6499,                0.57519,                0.67818,                   1.28,                0.96533,               0.008614,               0.008614,               0.008614
                     16,                0.44144,                0.36771,                0.85543,                 0.9461,                0.89636,                0.94992,                0.87815,                0.43551,                 0.3782,                0.81401,               0.008515,               0.008515,               0.008515
                     17,                0.43836,                0.36934,                0.85336,                 0.8918,                0.88362,                0.91524,                 0.8294,                0.47423,                0.46063,                0.82044,               0.008416,               0.008416,               0.008416
                     18,                0.43781,                0.36589,                0.85271,                0.87056,                0.83081,                0.88097,                0.79466,                0.50608,                0.58846,                0.84178,               0.008317,               0.008317,               0.008317
                     19,                0.43312,                0.35765,                0.85029,                0.86609,                0.84778,                 0.9023,                0.82316,                0.47377,                0.54096,                0.83668,               0.008218,               0.008218,               0.008218
                     20,                0.42024,                0.34846,                0.84995,                0.93857,                0.91753,                0.96073,                0.88762,                0.43507,                0.35182,                0.81908,               0.008119,               0.008119,               0.008119
                     21,                0.42336,                 0.3488,                0.84806,                0.79517,                0.55533,                0.63698,                0.55636,                0.72892,                 1.4493,                 1.0105,                0.00802,                0.00802,                0.00802
                     22,                0.42073,                0.33739,                0.84843,                0.97442,                0.96658,                0.98428,                 0.9229,                0.39515,                0.25688,                0.79735,               0.007921,               0.007921,               0.007921
                     23,                0.41509,                0.33767,                0.84562,                0.96366,                0.97314,                0.98266,                0.92284,                0.39514,                0.27156,                0.80041,               0.007822,               0.007822,               0.007822
                     24,                0.41651,                0.33845,                0.84833,                0.97756,                0.96915,                0.98845,                0.92972,                0.38764,                0.24617,                0.79688,               0.007723,               0.007723,               0.007723
                     25,                0.41365,                0.33081,                0.84382,                0.94025,                0.95179,                0.96766,                0.90822,                0.39365,                0.29692,                0.79759,               0.007624,               0.007624,               0.007624
                     26,                0.40971,                0.32622,                0.84496,                0.96729,                0.97217,                0.98115,                0.92455,                0.38859,                0.26286,                0.79456,               0.007525,               0.007525,               0.007525
                     27,                0.40957,                 0.3301,                0.84517,                0.89738,                0.48963,                0.59181,                0.51231,                0.98086,                 2.0263,                 1.1756,               0.007426,               0.007426,               0.007426
